References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
C1, C2	2			C1608X7R1H473K080AA	445-1313-6-ND	810C1608X7R1H473K		87R3746	1907317
C3	1			CC0603DRNPO9BN8R2	311-1742-6-ND	603CC603DRNPO9BN8R2		46WX106	721955
C6	1			CC0603KRX7R7BB104	311-1088-6-ND	603CC603KRX7R7BB104		68R4769	432210
C7	1			C0603C101J5GACTU	399-1061-1-ND	80C0603C101J5G		74C1322 C0603C101J5GAC7867	2392139
J1, J2	2			CONREVSMA003.062	CONREVSMA003.062-L-ND	712CONREVSMA003.062			
J3	1			10118192-0001LF	609-4613-6-ND	649101181920001LF		67T2258	2506568
R1	1			RC0603FR-078K06L	311-8.06KHRDKR-ND	603RC0603FR078K06L		18X9917	2474317
R3	1			RC0603FR-0752R3L	311-52.3HRCT-ND	603RC0603FR0752R3L		66R2463	
R5	1			RC0603FR-070RL	311-0.0HRCT-ND	603RC0603FR070RL		66R1907	2309106
R7	1			RC0603FR-071KL	311-1.00KHRDKR-ND	603RC0603FR071KL		66R1908	2132444
SH1	1			BMI-S-102	903-1007-1-ND	739BMIS102			
U1	1			AD8319ACPZ-R7	AD8319ACPZ-R7CT-ND	584AD8319ACPZR7		12M9063	2412707
